ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
gs_1217_824_11.jpg:    33.92578125000000    34.10156250000000    33.13755118935467    32.99023555666955
gs_1217_825_11.jpg:    33.92578125000000    34.10156250000000    32.99023555666955    32.84267362898282
gs_1217_826_11.jpg:    33.92578125000000    34.10156250000000    32.84267362898282    32.69486597491367
gs_1217_827_11.jpg:    33.92578125000000    34.10156250000000    32.69486597491367    32.54681317056391
gs_1217_828_11.jpg:    33.92578125000000    34.10156250000000    32.54681317056391    32.39851579953300
gs_1217_829_11.jpg:    33.92578125000000    34.10156250000000    32.39851579953300    32.24997445293256
gs_1217_830_11.jpg:    33.92578125000000    34.10156250000000    32.24997445293256    32.10118972940055
gs_1217_831_11.jpg:    33.92578125000000    34.10156250000000    32.10118972940055    31.95216223511497
gs_1218_824_11.jpg:    34.10156250000000    34.27734375000000    33.13755118935467    32.99023555666955
gs_1218_825_11.jpg:    34.10156250000000    34.27734375000000    32.99023555666955    32.84267362898282
gs_1218_826_11.jpg:    34.10156250000000    34.27734375000000    32.84267362898282    32.69486597491367
gs_1218_827_11.jpg:    34.10156250000000    34.27734375000000    32.69486597491367    32.54681317056391
gs_1218_828_11.jpg:    34.10156250000000    34.27734375000000    32.54681317056391    32.39851579953300
gs_1218_829_11.jpg:    34.10156250000000    34.27734375000000    32.39851579953300    32.24997445293256
gs_1218_830_11.jpg:    34.10156250000000    34.27734375000000    32.24997445293256    32.10118972940055
gs_1218_831_11.jpg:    34.10156250000000    34.27734375000000    32.10118972940055    31.95216223511497
gs_1219_824_11.jpg:    34.27734375000000    34.45312500000000    33.13755118935467    32.99023555666955
gs_1219_825_11.jpg:    34.27734375000000    34.45312500000000    32.99023555666955    32.84267362898282
gs_1219_826_11.jpg:    34.27734375000000    34.45312500000000    32.84267362898282    32.69486597491367
gs_1219_827_11.jpg:    34.27734375000000    34.45312500000000    32.69486597491367    32.54681317056391
gs_1219_828_11.jpg:    34.27734375000000    34.45312500000000    32.54681317056391    32.39851579953300
gs_1219_829_11.jpg:    34.27734375000000    34.45312500000000    32.39851579953300    32.24997445293256
gs_1219_830_11.jpg:    34.27734375000000    34.45312500000000    32.24997445293256    32.10118972940055
gs_1219_831_11.jpg:    34.27734375000000    34.45312500000000    32.10118972940055    31.95216223511497
gs_1220_824_11.jpg:    34.45312500000000    34.62890625000000    33.13755118935467    32.99023555666955
gs_1220_825_11.jpg:    34.45312500000000    34.62890625000000    32.99023555666955    32.84267362898282
gs_1220_826_11.jpg:    34.45312500000000    34.62890625000000    32.84267362898282    32.69486597491367
gs_1220_827_11.jpg:    34.45312500000000    34.62890625000000    32.69486597491367    32.54681317056391
gs_1220_828_11.jpg:    34.45312500000000    34.62890625000000    32.54681317056391    32.39851579953300
gs_1220_829_11.jpg:    34.45312500000000    34.62890625000000    32.39851579953300    32.24997445293256
gs_1220_830_11.jpg:    34.45312500000000    34.62890625000000    32.24997445293256    32.10118972940055
gs_1220_831_11.jpg:    34.45312500000000    34.62890625000000    32.10118972940055    31.95216223511497
gs_1221_824_11.jpg:    34.62890625000000    34.80468750000000    33.13755118935467    32.99023555666955
gs_1221_825_11.jpg:    34.62890625000000    34.80468750000000    32.99023555666955    32.84267362898282
gs_1221_826_11.jpg:    34.62890625000000    34.80468750000000    32.84267362898282    32.69486597491367
gs_1221_827_11.jpg:    34.62890625000000    34.80468750000000    32.69486597491367    32.54681317056391
gs_1221_828_11.jpg:    34.62890625000000    34.80468750000000    32.54681317056391    32.39851579953300
gs_1221_829_11.jpg:    34.62890625000000    34.80468750000000    32.39851579953300    32.24997445293256
gs_1221_830_11.jpg:    34.62890625000000    34.80468750000000    32.24997445293256    32.10118972940055
gs_1221_831_11.jpg:    34.62890625000000    34.80468750000000    32.10118972940055    31.95216223511497
gs_1222_824_11.jpg:    34.80468750000000    34.98046875000000    33.13755118935467    32.99023555666955
gs_1222_825_11.jpg:    34.80468750000000    34.98046875000000    32.99023555666955    32.84267362898282
gs_1222_826_11.jpg:    34.80468750000000    34.98046875000000    32.84267362898282    32.69486597491367
gs_1222_827_11.jpg:    34.80468750000000    34.98046875000000    32.69486597491367    32.54681317056391
